,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1511930041545887748,1511930041545887748,2022-04-07 11:53:06 WIB,2022-04-07,11:53:06,700,41730943,vivacoid,VivaCoid,,Gembong-PDIP Curiga Anies Paksa ASN DKI Beli Tiket Formula E  https://t.co/4YmRfOkbQ6,in,[],['http://dlvr.it/SN6kTB'],[],14,3,4,[],[],https://twitter.com/VIVAcoid/status/1511930041545887748,False,,0,,,,,,,,[],,,,
1,1511925237793038336,1511925237793038336,2022-04-07 11:34:01 WIB,2022-04-07,11:34:01,700,1356622054951321601,sakti97530342,Sakti©🇮🇩🇮🇩,,KPK tegaskan tak main-main usut dugaan korupsi formula E jakarta #kpk  https://t.co/TydJ4GNC9q,in,[],[],['https://pbs.twimg.com/media/FPtv_FmaQAAaQbO.jpg'],0,0,0,['kpk'],[],https://twitter.com/Sakti97530342/status/1511925237793038336,False,,1,https://pbs.twimg.com/media/FPtv_FmaQAAaQbO.jpg,,,,,,,[],,,,
2,1511924488207695872,1511924488207695872,2022-04-07 11:31:02 WIB,2022-04-07,11:31:02,700,79130206,jpnncom,JPNN.com,,"Pengaspalan sirkuit Formula E Jakarta di kawasan Ancol berpotensi tidak selesai sesuai target lagi, padahal target selesainya awal April ini. #FormulaE  https://t.co/4CSF2NjXTi",in,[],['https://m.jpnn.com/news/pengaspalan-sirkuit-formula-e-jakarta-bakal-molor-lagi'],[],0,0,1,['formulae'],[],https://twitter.com/jpnncom/status/1511924488207695872,False,,0,,,,,,,,[],,,,
3,1511916807753707521,1511916807753707521,2022-04-07 11:00:31 WIB,2022-04-07,11:00:31,700,1131657763413581824,target970,Kunci Klotok,,"Dia, melabali pengkritik sebagai pembebci...!!  Panas! Formula E Tidak Transparan, Pengamat Sebut Anies Baswedan Pakai Kebijakan Bangsawan!  https://t.co/RDdMnfOdRq",in,[],['https://wartaekonomi.co.id/read405550/panas-formula-e-tidak-transparan-pengamat-sebut-anies-baswedan-pakai-kebijakan-bangsawan'],[],0,0,1,[],[],https://twitter.com/TargEt970/status/1511916807753707521,False,,0,,,,,,,,[],,,,
4,1511900943004094473,1511900943004094473,2022-04-07 09:57:29 WIB,2022-04-07,09:57:29,700,2902948501,revolusi_news,@revolusinews.com,,"KPK Harus Naikkan Status Kasus Formula E ke Penyidikan, Pengamat : Jangan Sampai Dinilai Jadi Alat Politik Jegal Anies di 2024!  https://t.co/VRgZNrVlC5",in,[],['https://beritaasatu.com/berita-utama/35751/07/04/2022/kpk-harus-naikkan-status-kasus-formula-e-ke-penyidikan-pengamat-jangan-sampai-dinilai-jadi-alat-politik-jegal-anies-di-2024.html'],[],0,0,0,[],[],https://twitter.com/revolusi_news/status/1511900943004094473,False,,0,,,,,,,,[],,,,
5,1511900929724923904,1511900929724923904,2022-04-07 09:57:26 WIB,2022-04-07,09:57:26,700,3369879011,gendiskhansa,Gendis Regina Khansa,,"KPK Harus Naikkan Status Kasus Formula E ke Penyidikan, Pengamat : Jangan Sampai Dinilai Jadi Alat Politik Jegal Anies di 2024!  https://t.co/0KvRd3R40z",in,[],['https://beritaasatu.com/berita-utama/35751/07/04/2022/kpk-harus-naikkan-status-kasus-formula-e-ke-penyidikan-pengamat-jangan-sampai-dinilai-jadi-alat-politik-jegal-anies-di-2024.html'],[],0,0,0,[],[],https://twitter.com/GendisKhansa/status/1511900929724923904,False,,0,,,,,,,,[],,,,
6,1511900916189962245,1511900916189962245,2022-04-07 09:57:22 WIB,2022-04-07,09:57:22,700,3299735672,gandesalbasori,gandesalbasori,,"KPK Harus Naikkan Status Kasus Formula E ke Penyidikan, Pengamat : Jangan Sampai Dinilai Jadi Alat Politik Jegal Anies di 2024!  https://t.co/woUSbbr9wZ",in,[],['https://beritaasatu.com/berita-utama/35751/07/04/2022/kpk-harus-naikkan-status-kasus-formula-e-ke-penyidikan-pengamat-jangan-sampai-dinilai-jadi-alat-politik-jegal-anies-di-2024.html'],[],0,0,0,[],[],https://twitter.com/gandesalbasori/status/1511900916189962245,False,,0,,,,,,,,[],,,,
7,1511900902881468417,1511900902881468417,2022-04-07 09:57:19 WIB,2022-04-07,09:57:19,700,2811300588,indowarta1,indowarta.co,,"KPK Harus Naikkan Status Kasus Formula E ke Penyidikan, Pengamat : Jangan Sampai Dinilai Jadi Alat Politik Jegal Anies di 2024!  https://t.co/gFZ5KMzVmB",in,[],['https://beritaasatu.com/berita-utama/35751/07/04/2022/kpk-harus-naikkan-status-kasus-formula-e-ke-penyidikan-pengamat-jangan-sampai-dinilai-jadi-alat-politik-jegal-anies-di-2024.html'],[],0,0,0,[],[],https://twitter.com/indowarta1/status/1511900902881468417,False,,0,,,,,,,,[],,,,
8,1511900888314617865,1511900888314617865,2022-04-07 09:57:16 WIB,2022-04-07,09:57:16,700,2572331340,beritaa1,berita.A1,,"KPK Harus Naikkan Status Kasus Formula E ke Penyidikan, Pengamat : Jangan Sampai Dinilai Jadi Alat Politik Jegal Anies di 2024!  https://t.co/lq1dVdoFqS",in,[],['https://beritaasatu.com/berita-utama/35751/07/04/2022/kpk-harus-naikkan-status-kasus-formula-e-ke-penyidikan-pengamat-jangan-sampai-dinilai-jadi-alat-politik-jegal-anies-di-2024.html'],[],0,0,0,[],[],https://twitter.com/beritaA1/status/1511900888314617865,False,,0,,,,,,,,[],,,,
9,1511899422199795713,1511899422199795713,2022-04-07 09:51:26 WIB,2022-04-07,09:51:26,700,3073803173,smaliska2001,smaliska,,KPK Disarankan Tancap Gas Naikkan Status Kasus Formula E ke Penyidikan agar Tak Dituding sebagai Alat Politik Jegal Anies di Pilpres 2024  https://t.co/usPoSrV7Qe,in,[],['https://tribunrakyat.com/22476/07/04/2022/kpk-disarankan-tancap-gas-naikkan-status-kasus-formula-e-ke-penyidikan-agar-tak-dituding-sebagai-alat-politik-jegal-anies-di-pilpres-2024.html'],[],0,0,0,[],[],https://twitter.com/smaliska2001/status/1511899422199795713,False,,0,,,,,,,,[],,,,
